index,height,weight,age,salary,score
1,165,60,25,50000,85
2,170,65,30,60000,90
3,175,70,35,70000,95
4,180,75,40,80000,85
5,175,72,38,75000,88
6,160,55,28,45000,75
7,168,68,32,55000,82
8,172,70,37,65000,90
9,185,80,45,90000,95
10,178,76,42,85000,88
11,182,78,43,87000,90
12,168,62,31,58000,82
13,170,68,33,60000,85
14,175,72,35,65000,88
15,180,80,40,85000,95
16,170,65,32,62000,85
17,168,60,30,58000,80
18,172,70,34,63000,88
19,177,75,38,72000,90
20,178,77,39,75000,92
21,165,55,29,48000,78
22,169,63,31,55000,80
23,172,68,34,60000,85
24,174,72,36,62000,86
25,176,74,38,65000,88
26,170,65,33,59000,82
27,165,58,30,52000,78
28,169,60,31,54000,80
29,175,68,35,60000,85
30,178,72,37,63000,88
